  CREATE_STREAM @234 {NAME:data_mem T:Transactions SCOPE:uvm_test_top.env_instance.data_agent.data_seqr STREAM:27381}
  CREATE_STREAM @234 {NAME:seq_inst T:Transactions SCOPE:uvm_test_top.env_instance.sequencer STREAM:27350}
  CREATE_STREAM @234 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:27353}
  CREATE_STREAM @234 {NAME:data_mem T:Transactions SCOPE:uvm_test_top.env_instance.da_agent.data_seqr STREAM:27356}
  CREATE_STREAM @234 {NAME:seq_inst T:Transactions SCOPE:uvm_test_top.env_instance.sequencer_p STREAM:27375}
  CREATE_STREAM @234 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:27378}
  CREATE_STREAM @234 {NAME:data_mem T:Transactions SCOPE:uvm_test_top.env_instance.data_agent.data_seqr STREAM:27381}
  CREATE_STREAM @234 {NAME:seq_inst T:Transactions SCOPE:uvm_test_top.env_instance.sequencer STREAM:1214}
  CREATE_STREAM @234 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:1217}
  CREATE_STREAM @234 {NAME:data_mem T:Transactions SCOPE:uvm_test_top.env_instance.da_agent.data_seqr STREAM:1220}
  CREATE_STREAM @234 {NAME:seq_inst T:Transactions SCOPE:uvm_test_top.env_instance.sequencer STREAM:1214}
  CREATE_STREAM @234 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:1217}
  CREATE_STREAM @234 {NAME:data_mem T:Transactions SCOPE:uvm_test_top.env_instance.da_agent.data_seqr STREAM:1220}
  CREATE_STREAM @234 {NAME:seq_inst T:Transactions SCOPE:uvm_test_top.env_instance.sequencer STREAM:1214}
  CREATE_STREAM @234 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:1217}
  CREATE_STREAM @234 {NAME:data_mem T:Transactions SCOPE:uvm_test_top.env_instance.da_agent.data_seqr STREAM:1220}
  CREATE_STREAM @234 {NAME:seq_inst T:Transactions SCOPE:uvm_test_top.env_instance.sequencer STREAM:1214}
  CREATE_STREAM @234 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:1217}
  CREATE_STREAM @234 {NAME:data_mem T:Transactions SCOPE:uvm_test_top.env_instance.da_agent.data_seqr STREAM:1220}
  CREATE_STREAM @234 {NAME:seq_inst T:Transactions SCOPE:uvm_test_top.env_instance.sequencer STREAM:1194}
  CREATE_STREAM @234 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:1197}
  CREATE_STREAM @234 {NAME:data_mem T:Transactions SCOPE:uvm_test_top.env_instance.da_agent.data_seqr STREAM:1200}
  CREATE_STREAM @234 {NAME:seq_inst T:Transactions SCOPE:uvm_test_top.env_instance.sequencer STREAM:1146}
  CREATE_STREAM @234 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:1149}
  CREATE_STREAM @234 {NAME:data_mem T:Transactions SCOPE:uvm_test_top.env_instance.da_agent.data_seqr STREAM:1152}
