Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
         403084	     20142	800044ec	545ef113	andi	x2,x29,1349	 x29:0x0000e001  x2=0x00000001
         403144	     20145	800044f0	8479	c.srai	x8,0x1e	  x8:0x00000000  x8=0x00000000
         403164	     20146	800044f2	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         403204	     20148	800044f4	843a5997	auipc	x19,0x843a5	 x19=0x043a94f4
         403324	     20154	800044f8	03cc3133	mulhu	x2,x24,x28	 x24:0x00000000 x28:0x00000000  x2=0x00000000
         403344	     20155	800044fc	1af60c13	addi	x24,x12,431	 x12:0x00000000 x24=0x000001af
         403384	     20157	80004500	6bad	c.lui	x23,0xb	 x23=0x0000b000
         403444	     20160	80004502	f54ad017	auipc	x0,0xf54ad	  x0=0x00000000
         403464	     20161	80004506	8eb5	c.xor	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
         403504	     20163	80004508	8ead	c.xor	x13,x11	 x13:0x00000000 x11:0x0001f000 x13=0x0001f000
         403524	     20164	8000450a	8ff5	c.and	x15,x13	 x15:0xfffffe1b x13:0x0001f000 x15=0x0001f000
         403564	     20166	8000450c	011c65b3	or	x11,x24,x17	 x24:0x000001af x17:0x00000000 x11=0x000001af
         403624	     20169	80004510	0304	c.addi4spn	x9,x2,384	  x9=0x00000180
         403684	     20172	80004512	66e1a013	slti	x0,x3,1646	  x3:0x0000e976  x0=0x00000000
         403744	     20175	80004516	fae18617	auipc	x12,0xfae18	 x12=0x7ae1c516
         403804	     20178	8000451a	d2a5b713	sltiu	x14,x11,-726	 x11:0x000001af x14=0x00000001
         403864	     20181	8000451e	abc5c413	xori	x8,x11,-1348	 x11:0x000001af  x8=0xfffffb13
         403884	     20182	80004522	9122	c.add	x2,x8	  x2:0x00000000  x8:0xfffffb13  x2=0xfffffb13
         403924	     20184	80004524	8eb5	c.xor	x13,x13	 x13:0x0001f000 x13:0x0001f000 x13=0x00000000
         403944	     20185	80004526	02f2	c.slli	x5,0x1c	  x5:0xfffffe7e  x5=0xe0000000
         403984	     20187	80004528	007ed3b3	srl	x7,x29,x7	 x29:0x0000e001  x7:0x000001e3  x7=0x00001c00
         404104	     20193	8000452c	02c0a333	mulhsu	x6,x1,x12	  x1:0x00000000 x12:0x7ae1c516  x6=0x00000000
         404124	     20194	80004530	40e1d893	srai	x17,x3,0xe	  x3:0x0000e976 x17=0x00000003
         404164	     20196	80004534	0096	c.slli	x1,0x5	  x1:0x00000000  x1=0x00000000
         404224	     20199	80004536	24fab513	sltiu	x10,x21,591	 x21:0x1cf7dcf1 x10=0x00000000
         404284	     20202	8000453a	0104d8b3	srl	x17,x9,x16	  x9:0x00000180 x16:0xfffffc3f x17=0x00000000
         405064	     20241	8000453e	02fec3b3	div	x7,x29,x15	 x29:0x0000e001 x15:0x0001f000  x7=0x00000000
         405084	     20242	80004542	8ea5	c.xor	x13,x9	 x13:0x00000000  x9:0x00000180 x13=0x00000180
         405104	     20243	80004544	5d908713	addi	x14,x1,1497	  x1:0x00000000 x14=0x000005d9
         405124	     20244	80004548	04dd	c.addi	x9,23	  x9:0x00000180  x9=0x00000197
         405144	     20245	8000454a	8065	c.srli	x8,0x19	  x8:0xfffffb13  x8=0x0000007f
         405184	     20247	8000454c	0131d933	srl	x18,x3,x19	  x3:0x0000e976 x19:0x043a94f4 x18=0x00000000
         405244	     20250	80004550	04aa	c.slli	x9,0xa	  x9:0x00000197  x9=0x00065c00
         405304	     20253	80004552	acd0ea13	ori	x20,x1,-1331	  x1:0x00000000 x20=0xfffffacd
         405364	     20256	80004556	bc173c13	sltiu	x24,x14,-1087	 x14:0x000005d9 x24=0x00000001
         405484	     20262	8000455a	03ba2033	mulhsu	x0,x20,x27	 x20:0xfffffacd x27:0x00003820  x0=0x00000000
         405504	     20263	8000455e	0094	c.addi4spn	x13,x2,64	 x13=0xfffffb53
         405524	     20264	80004560	127d	c.addi	x4,-1	  x4:0x00007000  x4=0x00006fff
         405584	     20267	80004562	02e28433	mul	x8,x5,x14	  x5:0xe0000000 x14:0x000005d9  x8=0xe0000000
         405604	     20268	80004566	407a0493	addi	x9,x20,1031	 x20:0xfffffacd  x9=0xfffffed4
         405664	     20271	8000456a	01565713	srli	x14,x12,0x15	 x12:0x7ae1c516 x14=0x000003d7
         405684	     20272	8000456e	8c62	c.mv	x24,x24	  x0:0x00000000 x24:0x00000001 x24=0x00000001
         405724	     20274	80004570	82c9	c.srli	x13,0x12	 x13:0xfffffb53 x13=0x00003fff
         405784	     20277	80004572	418bd0b3	sra	x1,x23,x24	 x23:0x0000b000 x24:0x00000001  x1=0x00005800
         405804	     20278	80004576	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         405904	     20283	80004578	03e69bb3	mulh	x23,x13,x30	 x13:0x00003fff x30:0x00000000 x23=0x00000000
         405924	     20284	8000457c	0161f3b3	and	x7,x3,x22	  x3:0x0000e976 x22:0x1cf7dcf1  x7=0x0000c870
         405964	     20286	80004580	80d2	c.mv	x1,x20	  x0:0x00000000 x20:0xfffffacd  x1=0xfffffacd
         406024	     20289	80004582	01c8e2b3	or	x5,x17,x28	 x17:0x00000000 x28:0x00000000  x5=0x00000000
         406044	     20290	80004586	86b9	c.srai	x13,0xe	 x13:0x00003fff x13=0x00000000
         406084	     20292	80004588	8e95	c.sub	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
         406204	     20298	8000458a	0200abb3	mulhsu	x23,x1,x0	  x1:0xfffffacd  x0:0x00000000 x23=0x00000000
         406224	     20299	8000458e	1e8d3037	lui	x0,0x1e8d3	  x0=0x00000000
         406264	     20301	80004592	01ebaab3	slt	x21,x23,x30	 x23:0x00000000 x30:0x00000000 x21=0x00000000
         406324	     20304	80004596	00b63333	sltu	x6,x12,x11	 x12:0x7ae1c516 x11:0x000001af  x6=0x00000000
         406384	     20307	8000459a	896f1597	auipc	x11,0x896f1	 x11=0x096f559a
         407164	     20346	8000459e	03b36533	rem	x10,x6,x27	  x6:0x00000000 x27:0x00003820 x10=0x00000000
         407184	     20347	800045a2	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         407204	     20348	800045a4	6989	c.lui	x19,0x2	 x19=0x00002000
         407224	     20349	800045a6	011d4db3	xor	x27,x26,x17	 x26:0x8000ae64 x17:0x00000000 x27=0x8000ae64
         407244	     20350	800045aa	981e	c.add	x16,x7	 x16:0xfffffc3f  x7:0x0000c870 x16=0x0000c4af
         407284	     20352	800045ac	006d6eb3	or	x29,x26,x6	 x26:0x8000ae64  x6:0x00000000 x29=0x8000ae64
         407404	     20358	800045b0	02f035b3	mulhu	x11,x0,x15	  x0:0x00000000 x15:0x0001f000 x11=0x00000000
         407424	     20359	800045b4	c944ba13	sltiu	x20,x9,-876	  x9:0xfffffed4 x20=0x00000000
         407464	     20361	800045b8	0043c633	xor	x12,x7,x4	  x7:0x0000c870  x4:0x00006fff x12=0x0000a78f
         407524	     20364	800045bc	00959033	sll	x0,x11,x9	 x11:0x00000000  x9:0xfffffed4  x0=0x00000000
         407584	     20367	800045c0	683d	c.lui	x16,0xf	 x16=0x0000f000
         407644	     20370	800045c2	01cbc4b3	xor	x9,x23,x28	 x23:0x00000000 x28:0x00000000  x9=0x00000000
         407664	     20371	800045c6	0314	c.addi4spn	x13,x2,384	 x13=0xfffffc93
         407704	     20373	800045c8	86e9	c.srai	x13,0x1a	 x13:0xfffffc93 x13=0xffffffff
         407764	     20376	800045ca	41a4d233	sra	x4,x9,x26	  x9:0x00000000 x26:0x8000ae64  x4=0x00000000
         408544	     20415	800045ce	02f2d833	divu	x16,x5,x15	  x5:0x00000000 x15:0x0001f000 x16=0x00000000
         408564	     20416	800045d2	002d1cb3	sll	x25,x26,x2	 x26:0x8000ae64  x2:0xfffffb13 x25=0x73200000
         408584	     20417	800045d6	0047b0b3	sltu	x1,x15,x4	 x15:0x0001f000  x4:0x00000000  x1=0x00000000
         408604	     20418	800045da	82c5	c.srli	x13,0x11	 x13:0xffffffff x13=0x00007fff
         408664	     20421	800045dc	60d9	c.lui	x1,0x16	  x1=0x00016000
         408684	     20422	800045de	809e	c.mv	x1,x7	  x0:0x00000000  x7:0x0000c870  x1=0x0000c870
         408724	     20424	800045e0	0294	c.addi4spn	x13,x2,320	 x13=0xfffffc53
         408784	     20427	800045e2	de264a13	xori	x20,x12,-542	 x12:0x0000a78f x20=0xffff5a6d
         408804	     20428	800045e6	147d	c.addi	x8,-1	  x8:0xe0000000  x8=0xdfffffff
         408844	     20430	800045e8	82d9	c.srli	x13,0x16	 x13:0xfffffc53 x13=0x000003ff
         408904	     20433	800045ea	f166aa13	slti	x20,x13,-234	 x13:0x000003ff x20=0x00000000
         408964	     20436	800045ee	00471e93	slli	x29,x14,0x4	 x14:0x000003d7 x29=0x00003d70
         408984	     20437	800045f2	6645	c.lui	x12,0x11	 x12=0x00011000
         409024	     20439	800045f4	07cd6613	ori	x12,x26,124	 x26:0x8000ae64 x12=0x8000ae7c
         409084	     20442	800045f8	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         409144	     20445	800045fa	00415c13	srli	x24,x2,0x4	  x2:0xfffffb13 x24=0x0fffffb1
         409164	     20446	800045fe	82e9	c.srli	x13,0x1a	 x13:0x000003ff x13=0x00000000
         409204	     20448	80004600	006ec4b3	xor	x9,x29,x6	 x29:0x00003d70  x6:0x00000000  x9=0x00003d70
         409264	     20451	80004604	3fa60513	addi	x10,x12,1018	 x12:0x8000ae7c x10=0x8000b276
         409324	     20454	80004608	0010e033	or	x0,x1,x1	  x1:0x0000c870  x1:0x0000c870  x0=0x00000000
         409384	     20457	8000460c	717d	c.addi16sp	x2,-16	  x2:0xfffffb13  x2=0xfffffb03
         409404	     20458	8000460e	98fd	c.andi	x9,-1	  x9:0x00003d70  x9=0x00003d70
         409444	     20460	80004610	414d00b3	sub	x1,x26,x20	 x26:0x8000ae64 x20:0x00000000  x1=0x8000ae64
         409504	     20463	80004614	0035de13	srli	x28,x11,0x3	 x11:0x00000000 x28=0x00000000
         409564	     20466	80004618	400d0cb3	sub	x25,x26,x0	 x26:0x8000ae64  x0:0x00000000 x25=0x8000ae64
         409644	     20470	8000461c	02064bb3	div	x23,x12,x0	 x12:0x8000ae7c  x0:0x00000000 x23=0xffffffff
         409704	     20473	80004620	02d55cb3	divu	x25,x10,x13	 x10:0x8000b276 x13:0x00000000 x25=0xffffffff
         409744	     20475	80004624	005c4233	xor	x4,x24,x5	 x24:0x0fffffb1  x5:0x00000000  x4=0x0fffffb1
         409804	     20478	80004628	805d	c.srli	x8,0x17	  x8:0xdfffffff  x8=0x000001bf
         409824	     20479	8000462a	9afd	c.andi	x13,-1	 x13:0x00000000 x13=0x00000000
         409864	     20481	8000462c	d308ec93	ori	x25,x17,-720	 x17:0x00000000 x25=0xfffffd30
         409924	     20484	80004630	82a5	c.srli	x13,0x9	 x13:0x00000000 x13=0x00000000
         409944	     20485	80004632	6805	c.lui	x16,0x1	 x16=0x00001000
         409984	     20487	80004634	8291	c.srli	x13,0x4	 x13:0x00000000 x13=0x00000000
         410104	     20493	80004636	0382a0b3	mulhsu	x1,x5,x24	  x5:0x00000000 x24:0x0fffffb1  x1=0x00000000
         410124	     20494	8000463a	df094a93	xori	x21,x18,-528	 x18:0x00000000 x21=0xfffffdf0
         410164	     20496	8000463e	40ce5513	srai	x10,x28,0xc	 x28:0x00000000 x10=0x00000000
         410284	     20502	80004642	0271a333	mulhsu	x6,x3,x7	  x3:0x0000e976  x7:0x0000c870  x6=0x00000000
         410304	     20503	80004646	011bdc33	srl	x24,x23,x17	 x23:0xffffffff x17:0x00000000 x24=0xffffffff
         410364	     20506	8000464a	0201dcb3	divu	x25,x3,x0	  x3:0x0000e976  x0:0x00000000 x25=0xffffffff
         410404	     20508	8000464e	588ce593	ori	x11,x25,1416	 x25:0xffffffff x11=0xffffffff
         410464	     20511	80004652	01cb08b3	add	x17,x22,x28	 x22:0x1cf7dcf1 x28:0x00000000 x17=0x1cf7dcf1
         410524	     20514	80004656	00a11433	sll	x8,x2,x10	  x2:0xfffffb03 x10:0x00000000  x8=0xfffffb03
         410544	     20515	8000465a	57fd	c.li	x15,-1	 x15=0xffffffff
         410584	     20517	8000465c	5638c993	xori	x19,x17,1379	 x17:0x1cf7dcf1 x19=0x1cf7d992
         410664	     20521	80004660	03434733	div	x14,x6,x20	  x6:0x00000000 x20:0x00000000 x14=0xffffffff
         410704	     20523	80004664	09547313	andi	x6,x8,149	  x8:0xfffffb03  x6=0x00000001
         410764	     20526	80004668	6121	c.addi16sp	x2,64	  x2:0xfffffb03  x2=0xfffffb43
         410824	     20529	8000466a	01e902b3	add	x5,x18,x30	 x18:0x00000000 x30:0x00000000  x5=0x00000000
         410844	     20530	8000466e	0694	c.addi4spn	x13,x2,832	 x13=0xfffffe83
         410884	     20532	80004670	41e989b3	sub	x19,x19,x30	 x19:0x1cf7d992 x30:0x00000000 x19=0x1cf7d992
         410944	     20535	80004674	413d56b3	sra	x13,x26,x19	 x26:0x8000ae64 x19:0x1cf7d992 x13=0xffffe000
         411004	     20538	80004678	8eb5	c.xor	x13,x13	 x13:0xffffe000 x13:0xffffe000 x13=0x00000000
         411024	     20539	8000467a	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         411084	     20542	8000467c	02585933	divu	x18,x16,x5	 x16:0x00001000  x5:0x00000000 x18=0xffffffff
         411124	     20544	80004680	9afd	c.andi	x13,-1	 x13:0x00000000 x13=0x00000000
         411144	     20545	80004682	8ead	c.xor	x13,x11	 x13:0x00000000 x11:0xffffffff x13=0xffffffff
         411184	     20547	80004684	8dfd	c.and	x11,x15	 x11:0xffffffff x15:0xffffffff x11=0xffffffff
         411204	     20548	80004686	9b66	c.add	x22,x25	 x22:0x1cf7dcf1 x25:0xffffffff x22=0x1cf7dcf0
         411244	     20550	80004688	61a55037	lui	x0,0x61a55	  x0=0x00000000
         411304	     20553	8000468c	002571b3	and	x3,x10,x2	 x10:0x00000000  x2:0xfffffb43  x3=0x00000000
         411364	     20556	80004690	8c55	c.or	x8,x13	  x8:0xfffffb03 x13:0xffffffff  x8=0xffffffff
         411384	     20557	80004692	8cdd	c.or	x9,x15	  x9:0x00003d70 x15:0xffffffff  x9=0xffffffff
         411424	     20559	80004694	01e72733	slt	x14,x14,x30	 x14:0xffffffff x30:0x00000000 x14=0x00000001
         411484	     20562	80004698	0da2	c.slli	x27,0x8	 x27:0x8000ae64 x27=0x00ae6400
         411504	     20563	8000469a	8696	c.mv	x13,x5	  x0:0x00000000  x5:0x00000000 x13=0x00000000
         411544	     20565	8000469c	52c52a93	slti	x21,x10,1324	 x10:0x00000000 x21=0x00000001
         411604	     20568	800046a0	0174b1b3	sltu	x3,x9,x23	  x9:0xffffffff x23:0xffffffff  x3=0x00000000
         411664	     20571	800046a4	8ef5	c.and	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
         411724	     20574	800046a6	013e85b3	add	x11,x29,x19	 x29:0x00003d70 x19:0x1cf7d992 x11=0x1cf81702
         411744	     20575	800046aa	408d	c.li	x1,3	  x1=0x00000003
         411784	     20577	800046ac	9a52	c.add	x20,x20	 x20:0x00000000 x20:0x00000000 x20=0x00000000
         411804	     20578	800046ae	60d1	c.lui	x1,0x14	  x1=0x00014000
         411844	     20580	800046b0	410dd033	sra	x0,x27,x16	 x27:0x00ae6400 x16:0x00001000  x0=0x00000000
         411904	     20583	800046b4	17fd	c.addi	x15,-1	 x15:0xffffffff x15=0xfffffffe
         411924	     20584	800046b6	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         411964	     20586	800046b8	00725913	srli	x18,x4,0x7	  x4:0x0fffffb1 x18=0x001fffff
         412024	     20589	800046bc	017e1d93	slli	x27,x28,0x17	 x28:0x00000000 x27=0x00000000
         412084	     20592	800046c0	2f8b11b7	lui	x3,0x2f8b1	  x3=0x2f8b1000
         412144	     20595	800046c4	82b1	c.srli	x13,0xc	 x13:0x00000000 x13=0x00000000
         412244	     20600	800046c6	02a384b3	mul	x9,x7,x10	  x7:0x0000c870 x10:0x00000000  x9=0x00000000
         412264	     20601	800046ca	00565a13	srli	x20,x12,0x5	 x12:0x8000ae7c x20=0x04000573
         412324	     20604	800046ce	41790833	sub	x16,x18,x23	 x18:0x001fffff x23:0xffffffff x16=0x00200000
         412384	     20607	800046d2	01485033	srl	x0,x16,x20	 x16:0x00200000 x20:0x04000573  x0=0x00000000
         412444	     20610	800046d6	4212e313	ori	x6,x5,1057	  x5:0x00000000  x6=0x00000421
         412464	     20611	800046da	8c35	c.xor	x8,x13	  x8:0xffffffff x13:0x00000000  x8=0xffffffff
         412504	     20613	800046dc	8608f013	andi	x0,x17,-1952	 x17:0x1cf7dcf1  x0=0x00000000
         413284	     20652	800046e0	02b46433	rem	x8,x8,x11	  x8:0xffffffff x11:0x1cf81702  x8=0xffffffff
         413304	     20653	800046e4	5cfd	c.li	x25,-1	 x25=0xffffffff
         413324	     20654	800046e6	8ed5	c.or	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
         413344	     20655	800046e8	9f567093	andi	x1,x12,-1547	 x12:0x8000ae7c  x1=0x8000a874
         413364	     20656	800046ec	8ab2	c.mv	x21,x12	  x0:0x00000000 x12:0x8000ae7c x21=0x8000ae7c
         413384	     20657	800046ee	8ef1	c.and	x13,x12	 x13:0x00000000 x12:0x8000ae7c x13=0x00000000
         413404	     20658	800046f0	00635333	srl	x6,x6,x6	  x6:0x00000421  x6:0x00000421  x6=0x00000210
         413464	     20661	800046f4	0551	c.addi	x10,20	 x10:0x00000000 x10=0x00000014
         413484	     20662	800046f6	8ee5	c.and	x13,x9	 x13:0x00000000  x9:0x00000000 x13=0x00000000
         413524	     20664	800046f8	717d	c.addi16sp	x2,-16	  x2:0xfffffb43  x2=0xfffffb33
         413544	     20665	800046fa	82d1	c.srli	x13,0x14	 x13:0x00000000 x13=0x00000000
         413584	     20667	800046fc	003e8cb3	add	x25,x29,x3	 x29:0x00003d70  x3:0x2f8b1000 x25=0x2f8b4d70
         413644	     20670	80004700	929a	c.add	x5,x6	  x5:0x00000000  x6:0x00000210  x5=0x00000210
         413704	     20673	80004702	01162ab3	slt	x21,x12,x17	 x12:0x8000ae7c x17:0x1cf7dcf1 x21=0x00000001
         413764	     20676	80004706	d8928e13	addi	x28,x5,-631	  x5:0x00000210 x28=0xffffff99
         413884	     20682	8000470a	02c5a2b3	mulhsu	x5,x11,x12	 x11:0x1cf81702 x12:0x8000ae7c  x5=0x0e7c1f3f
         413904	     20683	8000470e	717d	c.addi16sp	x2,-16	  x2:0xfffffb33  x2=0xfffffb23
         413924	     20684	80004710	00c2	c.slli	x1,0x10	  x1:0x8000a874  x1=0xa8740000
         413944	     20685	80004712	82a1	c.srli	x13,0x8	 x13:0x00000000 x13=0x00000000
         413964	     20686	80004714	8ed1	c.or	x13,x12	 x13:0x00000000 x12:0x8000ae7c x13=0x8000ae7c
         414004	     20688	80004716	01afb033	sltu	x0,x31,x26	 x31:0xff057b01 x26:0x8000ae64  x0=0x00000000
         414024	     20689	8000471a	96ae	c.add	x13,x11	 x13:0x8000ae7c x11:0x1cf81702 x13=0x9cf8c57e
         414064	     20691	8000471c	00729b13	slli	x22,x5,0x7	  x5:0x0e7c1f3f x22=0x3e0f9f80
         414124	     20694	80004720	828d	c.srli	x13,0x3	 x13:0x9cf8c57e x13=0x139f18af
         414144	     20695	80004722	64f5	c.lui	x9,0x1d	  x9=0x0001d000
         414184	     20697	80004724	4e85	c.li	x29,1	 x29=0x00000001
         414204	     20698	80004726	4701	c.li	x14,0	 x14=0x00000000
         414244	     20700	80004728	48976e37	lui	x28,0x48976	 x28=0x48976000
         414304	     20703	8000472c	9dbe0e13	addi	x28,x28,-1573	 x28:0x48976000 x28=0x489759db
         414364	     20706	80004730	4d85	c.li	x27,1	 x27=0x00000001
         414384	     20707	80004732	4c85	c.li	x25,1	 x25=0x00000001
         414424	     20709	80004734	4481	c.li	x9,0	  x9=0x00000000
         414444	     20710	80004736	4c01	c.li	x24,0	 x24=0x00000000
         414484	     20712	80004738	1b89f8b7	lui	x17,0x1b89f	 x17=0x1b89f000
         414544	     20715	8000473c	2e888893	addi	x17,x17,744	 x17:0x1b89f000 x17=0x1b89f2e8
         414604	     20718	80004740	4b01	c.li	x22,0	 x22=0x00000000
         414624	     20719	80004742	4081	c.li	x1,0	  x1=0x00000000
         414664	     20721	80004744	40928b33	sub	x22,x5,x9	  x5:0x0e7c1f3f  x9:0x00000000 x22=0x0e7c1f3f
         414724	     20724	80004748	e97924b7	lui	x9,0xe9792	  x9=0xe9792000
         414784	     20727	8000474c	90fe	c.add	x1,x31	  x1:0x00000000 x31:0xff057b01  x1=0xff057b01
         414844	     20730	8000474e	e3907997	auipc	x19,0xe3907	 x19=0x6390b74e
         414904	     20733	80004752	bac38c13	addi	x24,x7,-1108	  x7:0x0000c870 x24=0x0000c41c
         414924	     20734	80004756	537d	c.li	x6,-1	  x6=0xffffffff
         414964	     20736	80004758	0294	c.addi4spn	x13,x2,320	 x13=0xfffffc63
         415744	     20775	8000475a	03fa6db3	rem	x27,x20,x31	 x20:0x04000573 x31:0xff057b01 x27=0x0015f177
         416484	     20812	8000475e	038c67b3	rem	x15,x24,x24	 x24:0x0000c41c x24:0x0000c41c x15=0x00000000
         416564	     20816	80004762	03d3a033	mulhsu	x0,x7,x29	  x7:0x0000c870 x29:0x00000001  x0=0x00000000
         416584	     20817	80004766	6141	c.addi16sp	x2,16	  x2:0xfffffb23  x2=0xfffffb33
         416664	     20821	80004768	034aa033	mulhsu	x0,x21,x20	 x21:0x00000001 x20:0x04000573  x0=0x00000000
         416684	     20822	8000476c	8907a017	auipc	x0,0x8907a	  x0=0x00000000
         416704	     20823	80004770	16fd	c.addi	x13,-1	 x13:0xfffffc63 x13=0xfffffc62
         416784	     20827	80004772	03c83133	mulhu	x2,x16,x28	 x16:0x00200000 x28:0x489759db  x2=0x000912eb
         416804	     20828	80004776	60b9	c.lui	x1,0xe	  x1=0x0000e000
         416884	     20832	80004778	033099b3	mulh	x19,x1,x19	  x1:0x0000e000 x19:0x6390b74e x19=0x0000571e
         416964	     20836	8000477c	038e9033	mulh	x0,x29,x24	 x29:0x00000001 x24:0x0000c41c  x0=0x00000000
         416984	     20837	80004780	338f0013	addi	x0,x30,824	 x30:0x00000000  x0=0x00000000
         417724	     20874	80004784	035c4eb3	div	x29,x24,x21	 x24:0x0000c41c x21:0x00000001 x29=0x0000c41c
         417744	     20875	80004788	014b0633	add	x12,x22,x20	 x22:0x0e7c1f3f x20:0x04000573 x12=0x127c24b2
         417764	     20876	8000478c	f7fbb017	auipc	x0,0xf7fbb	  x0=0x00000000
         417784	     20877	80004790	6379	c.lui	x6,0x1e	  x6=0x0001e000
         417804	     20878	80004792	80aa	c.mv	x1,x10	  x0:0x00000000 x10:0x00000014  x1=0x00000014
         418564	     20916	80004794	0299e2b3	rem	x5,x19,x9	 x19:0x0000571e  x9:0xe9792000  x5=0x0000571e
         418584	     20917	80004798	838e	c.mv	x7,x3	  x0:0x00000000  x3:0x2f8b1000  x7=0x2f8b1000
         418604	     20918	8000479a	41208ab3	sub	x21,x1,x18	  x1:0x00000014 x18:0x001fffff x21=0xffe00015
         418664	     20921	8000479e	02ba8db3	mul	x27,x21,x11	 x21:0xffe00015 x11:0x1cf81702 x27=0x8019e32a
         418724	     20924	800047a2	03fe85b3	mul	x11,x29,x31	 x29:0x0000c41c x31:0xff057b01 x11=0x16c6381c
         418744	     20925	800047a6	60e6ea13	ori	x20,x13,1550	 x13:0xfffffc62 x20=0xfffffe6e
         418804	     20928	800047aa	006f1413	slli	x8,x30,0x6	 x30:0x00000000  x8=0x00000000
         418824	     20929	800047ae	177d	c.addi	x14,-1	 x14:0x00000000 x14=0xffffffff
         418864	     20931	800047b0	40d800b3	sub	x1,x16,x13	 x16:0x00200000 x13:0xfffffc62  x1=0x0020039e
         418964	     20936	800047b4	03cc8833	mul	x16,x25,x28	 x25:0x00000001 x28:0x489759db x16=0x489759db
         418984	     20937	800047b8	40a75033	sra	x0,x14,x10	 x14:0xffffffff x10:0x00000014  x0=0x00000000
         419044	     20940	800047bc	cf2eb813	sltiu	x16,x29,-782	 x29:0x0000c41c x16=0x00000001
         419104	     20943	800047c0	41195213	srai	x4,x18,0x11	 x18:0x001fffff  x4=0x0000000f
         419164	     20946	800047c4	40237613	andi	x12,x6,1026	  x6:0x0001e000 x12=0x00000000
         419224	     20949	800047c8	1694	c.addi4spn	x13,x2,864	 x13=0x0009164b
         419244	     20950	800047ca	48f1	c.li	x17,28	 x17=0x0000001c
         419284	     20952	800047cc	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         419344	     20955	800047ce	01cd9213	slli	x4,x27,0x1c	 x27:0x8019e32a  x4=0xa0000000
         419404	     20958	800047d2	45630c37	lui	x24,0x45630	 x24=0x45630000
         419464	     20961	800047d6	63ee7793	andi	x15,x28,1598	 x28:0x489759db x15=0x0000001a
         419524	     20964	800047da	01c8d2b3	srl	x5,x17,x28	 x17:0x0000001c x28:0x489759db  x5=0x00000000
         419544	     20965	800047de	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         419584	     20967	800047e0	24b27593	andi	x11,x4,587	  x4:0xa0000000 x11=0x00000000
         419644	     20970	800047e4	68d9	c.lui	x17,0x16	 x17=0x00016000
         419664	     20971	800047e6	8476	c.mv	x8,x29	  x0:0x00000000 x29:0x0000c41c  x8=0x0000c41c
         419704	     20973	800047e8	717d	c.addi16sp	x2,-16	  x2:0x000912eb  x2=0x000912db
         419764	     20976	800047ea	0182fab3	and	x21,x5,x24	  x5:0x00000000 x24:0x45630000 x21=0x00000000
         419824	     20979	800047ee	01bd16b3	sll	x13,x26,x27	 x26:0x8000ae64 x27:0x8019e32a x13=0x02b99000
         419884	     20982	800047f2	017755b3	srl	x11,x14,x23	 x14:0xffffffff x23:0xffffffff x11=0x00000001
         419904	     20983	800047f6	8cd5	c.or	x9,x13	  x9:0xe9792000 x13:0x02b99000  x9=0xebf9b000
         420664	     21021	800047f8	03cfecb3	rem	x25,x31,x28	 x31:0xff057b01 x28:0x489759db x25=0xff057b01
         420684	     21022	800047fc	8e85	c.sub	x13,x9	 x13:0x02b99000  x9:0xebf9b000 x13=0x16bfe000
         420704	     21023	800047fe	ca9eca13	xori	x20,x29,-855	 x29:0x0000c41c x20=0xffff38b5
         420724	     21024	80004802	01b15e13	srli	x28,x2,0x1b	  x2:0x000912db x28=0x00000000
         421504	     21063	80004806	031e4b33	div	x22,x28,x17	 x28:0x00000000 x17:0x00016000 x22=0x00000000
         421524	     21064	8000480a	548ffe93	andi	x29,x31,1352	 x31:0xff057b01 x29=0x00000100
         421544	     21065	8000480e	9ae33297	auipc	x5,0x9ae33	  x5=0x1ae3780e
         421624	     21069	80004812	c8511937	lui	x18,0xc8511	 x18=0xc8511000
         422404	     21108	80004816	0399d7b3	divu	x15,x19,x25	 x19:0x0000571e x25:0xff057b01 x15=0x00000000
         422424	     21109	8000481a	00ced5b3	srl	x11,x29,x12	 x29:0x00000100 x12:0x00000000 x11=0x00000100
         422504	     21113	8000481e	033016b3	mulh	x13,x0,x19	  x0:0x00000000 x19:0x0000571e x13=0x00000000
         422524	     21114	80004822	14fd	c.addi	x9,-1	  x9:0xebf9b000  x9=0xebf9afff
         422544	     21115	80004824	00ae	c.slli	x1,0xb	  x1:0x0020039e  x1=0x001cf000
         422564	     21116	80004826	8295	c.srli	x13,0x5	 x13:0x00000000 x13=0x00000000
         422584	     21117	80004828	003b9c13	slli	x24,x23,0x3	 x23:0xffffffff x24=0xfffffff8
